Date,Mkt-RF,SMB,HML,RF
201506,-1.52,2.94,-0.82,0
201507,1.57,-4.17,-4.16,0
201508,-6.02,0.37,2.75,0
201509,-3.06,-2.63,0.55,0
201510,7.75,-1.9,-0.47,0
201511,0.57,3.58,-0.43,0
201512,-2.15,-2.8,-2.57,0.01
201601,-5.74,-3.4,2.08,0.01
201602,-0.06,0.73,-0.61,0.02
201603,6.95,0.75,1.22,0.02
201604,0.92,0.77,3.22,0.01
201605,1.78,-0.18,-1.62,0.01
201606,-0.03,0.6,-1.49,0.02
201607,3.94,2.45,-1.24,0.02
201608,0.49,1.17,3.17,0.02
201609,0.27,2.08,-1.19,0.02
201610,-2.01,-4.39,4.11,0.02
201611,4.86,5.6,8.29,0.01
201612,1.81,0.14,3.47,0.03
201701,1.94,-1.16,-2.76,0.04
201702,3.55,-2.15,-1.5,0.04
201703,0.17,1.13,-3.33,0.03
201704,1.08,0.66,-2.05,0.05
201705,1.07,-2.52,-3.82,0.06
201706,0.79,2.21,1.5,0.06
201707,1.88,-1.45,-0.23,0.07
201708,0.18,-1.67,-2.13,0.09
201709,2.49,4.45,3.15,0.09
201710,2.26,-1.93,0.13,0.09
201711,3.12,-0.6,-0.09,0.08
201712,1.06,-1.32,0.05,0.09
201801,5.58,-3.16,-1.32,0.11
201802,-3.64,0.27,-1.1,0.11
201803,-2.35,4.05,-0.21,0.12
201804,0.27,1.09,0.53,0.14
201805,2.66,5.24,-3.14,0.14
201806,0.49,1.11,-2.33,0.14
201807,3.2,-2.23,0.49,0.16
201808,3.45,1.14,-3.91,0.16
201809,0.06,-2.29,-1.62,0.15
201810,-7.65,-4.7,3.38,0.19
201811,1.71,-0.73,0.36,0.18
201812,-9.55,-2.31,-1.92,0.19
201901,8.37,2.76,-0.39,0.21
201902,3.42,2.05,-2.66,0.18
201903,1.1,-3.03,-4.14,0.19
201904,3.97,-1.74,2.13,0.21
201905,-6.92,-1.26,-2.45,0.21
201906,6.92,0.26,-0.64,0.18
